seed 2026																																																																																																																												
	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.0395	0.0532	0.0679	0.0197	0.0215	0.0225	0.0246	0.0291	0.0328	0.0395	0.0532	0.0679	0.0079	0.0053	0.0034	0.0156	0.0191	0.0216	0.0264	0.0342	0.0412	0.0665	0.0909	0.118	0.0096	0.0108	0.0114	0.0164	0.0189	0.0207	0.0415	0.0494	0.0563	0.0076	0.0081	0.0083	0.0131	0.0141	0.0146	0.0332	0.0365	0.0384	0.0156	0.0191	0.0216	0.0264	0.0342	0.0412	0.0665	0.0909	0.118	0.1925	0.1934	0.6136	0.1707	0.1808	0.6482	0.1532	0.1739	0.6726																																																												
tfidf					0.0433	0.0554	0.0695	0.0294	0.031	0.032	0.0328	0.0367	0.0403	0.0433	0.0554	0.0695	0.0087	0.0055	0.0035	0.0148	0.0164	0.0175	0.0266	0.0329	0.0385	0.0747	0.0971	0.1241	0.0118	0.0123	0.0125	0.0212	0.0232	0.0247	0.0561	0.0633	0.0701	0.0107	0.0109	0.011	0.0194	0.0203	0.0207	0.0499	0.0529	0.0547	0.0148	0.0164	0.0175	0.0266	0.0329	0.0385	0.0747	0.0971	0.1241	0.1752	0.1304	0.6944	0.1478	0.1315	0.7207	0.1243	0.1321	0.7436	9.62%	4.14%	2.36%	49.24%	44.19%	42.22%	33.33%	26.12%	22.87%	9.62%	4.14%	2.36%	10.13%	3.77%	2.94%	-5.13%	-14.14%	-18.98%	0.76%	-3.80%	-6.55%	12.33%	6.82%	5.17%	22.92%	13.89%	9.65%	29.27%	22.75%	19.32%	35.18%	28.14%	24.51%	40.79%	34.57%	32.53%	48.09%	43.97%	41.78%	50.30%	44.93%	42.45%	-5.13%	-14.14%	-18.98%	0.76%	-3.80%	-6.55%	12.33%	6.82%	5.17%	-8.99%	-32.57%	13.17%	-13.42%	-27.27%	11.18%	-18.86%	-24.04%	10.56%
tfidf + llm					0.044	0.0562	0.071	0.0298	0.0315	0.0325	0.0333	0.0373	0.041	0.044	0.0562	0.071	0.0088	0.0056	0.0035	0.0151	0.0163	0.018	0.0273	0.0334	0.0389	0.0758	0.0986	0.1268	0.012	0.0124	0.0129	0.0215	0.0235	0.0249	0.0569	0.0643	0.0713	0.011	0.0112	0.0113	0.0196	0.0204	0.0208	0.0507	0.0537	0.0556	0.0151	0.0163	0.018	0.0273	0.0334	0.0389	0.0758	0.0986	0.1268	0.1596	0.1237	0.7168	0.1341	0.1234	0.7425	0.1132	0.1234	0.7634	11.39%	5.64%	4.57%	51.27%	46.51%	44.44%	35.37%	28.18%	25.00%	11.39%	5.64%	4.57%	11.39%	5.66%	2.94%	-3.21%	-14.66%	-16.67%	3.41%	-2.34%	-5.58%	13.98%	8.47%	7.46%	25.00%	14.81%	13.16%	31.10%	24.34%	20.29%	37.11%	30.16%	26.64%	44.74%	38.27%	36.14%	49.62%	44.68%	42.47%	52.71%	47.12%	44.79%	-3.21%	-14.66%	-16.67%	3.41%	-2.34%	-5.58%	13.98%	8.47%	7.46%	-17.09%	-36.04%	16.82%	-21.44%	-31.75%	14.55%	-26.11%	-29.04%	13.50%
multi-view 7b					0.0449	0.0582	0.0748	0.0302	0.032	0.0331	0.0339	0.0381	0.0423	0.0449	0.0582	0.0748	0.009	0.0058	0.0037	0.0155	0.0177	0.0195	0.0283	0.0351	0.0421	0.0773	0.1015	0.1328	0.0124	0.0131	0.0135	0.0223	0.0245	0.0263	0.0575	0.0653	0.0733	0.0113	0.0116	0.0117	0.0203	0.0212	0.0217	0.0511	0.0543	0.0564	0.0155	0.0177	0.0195	0.0283	0.0351	0.0421	0.0773	0.1015	0.1328	0.1519	0.1425	0.7056	0.1327	0.1428	0.7245	0.1179	0.1443	0.7378	13.67%	9.40%	10.16%	53.30%	48.84%	47.11%	37.80%	30.93%	28.96%	13.67%	9.40%	10.16%	13.92%	9.43%	8.82%	-0.64%	-7.33%	-9.72%	7.20%	2.63%	2.18%	16.24%	11.66%	12.54%	29.17%	21.30%	18.42%	35.98%	29.63%	27.05%	38.55%	32.19%	30.20%	48.68%	43.21%	40.96%	54.96%	50.35%	48.63%	53.92%	48.77%	46.88%	-0.64%	-7.33%	-9.72%	7.20%	2.63%	2.18%	16.24%	11.66%	12.54%	-21.09%	-26.32%	14.99%	-22.26%	-21.02%	11.77%	-23.04%	-17.02%	9.69%
multi-view 14b					0.0451	0.058	0.0737	0.0302	0.0319	0.033	0.0339	0.0381	0.042	0.0451	0.058	0.0737	0.009	0.0058	0.0037	0.0156	0.0173	0.0198	0.0292	0.0351	0.042	0.0771	0.1011	0.1306	0.0122	0.0127	0.0134	0.0229	0.0248	0.0265	0.0574	0.0652	0.0726	0.011	0.0113	0.0115	0.0208	0.0216	0.0221	0.051	0.0541	0.0562	0.0156	0.0173	0.0198	0.0292	0.0351	0.042	0.0771	0.1011	0.1306	0.1556	0.1458	0.6986	0.137	0.146	0.7171	0.1216	0.1478	0.7306	14.18%	9.02%	8.54%	53.30%	48.37%	46.67%	37.80%	30.93%	28.05%	14.18%	9.02%	8.54%	13.92%	9.43%	8.82%	0.00%	-9.42%	-8.33%	10.61%	2.63%	1.94%	15.94%	11.22%	10.68%	27.08%	17.59%	17.54%	39.63%	31.22%	28.02%	38.31%	31.98%	28.95%	44.74%	39.51%	38.55%	58.78%	53.19%	51.37%	53.61%	48.22%	46.35%	0.00%	-9.42%	-8.33%	10.61%	2.63%	1.94%	15.94%	11.22%	10.68%	-19.17%	-24.61%	13.85%	-19.74%	-19.25%	10.63%	-20.63%	-15.01%	8.62%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.0462	0.0596	0.0725	0.0232	0.0251	0.026	0.029	0.0333	0.0366	0.0462	0.0596	0.0725	0.0092	0.006	0.0036	0.016	0.0196	0.0216	0.0364	0.0468	0.0555	0.0812	0.1053	0.1299	0.0099	0.011	0.0116	0.0221	0.0255	0.0277	0.0514	0.0592	0.0655	0.0079	0.0083	0.0085	0.0174	0.0188	0.0194	0.0415	0.0448	0.0465	0.016	0.0196	0.0216	0.0364	0.0468	0.0555	0.0812	0.1053	0.1299	0.2136	0.2461	0.5399	0.1935	0.2385	0.5676	0.1782	0.2335	0.5881																																																												
tfidf					0.0505	0.0629	0.0768	0.0347	0.0363	0.0373	0.0386	0.0426	0.0461	0.0505	0.0629	0.0768	0.0101	0.0063	0.0038	0.0171	0.0187	0.0205	0.0386	0.0469	0.0555	0.0897	0.1133	0.1403	0.0135	0.014	0.0144	0.0298	0.0326	0.0347	0.0682	0.0759	0.0827	0.0122	0.0124	0.0126	0.0269	0.0281	0.0287	0.0612	0.0643	0.0662	0.0171	0.0187	0.0205	0.0386	0.0469	0.0555	0.0897	0.1133	0.1403	0.2478	0.1878	0.5644	0.2228	0.1878	0.5894	0.2012	0.1883	0.6105	9.31%	5.54%	5.93%	49.57%	44.62%	43.46%	33.10%	27.93%	25.96%	9.31%	5.54%	5.93%	9.78%	5.00%	5.56%	6.88%	-4.59%	-5.09%	6.04%	0.21%	0.00%	10.47%	7.60%	8.01%	36.36%	27.27%	24.14%	34.84%	27.84%	25.27%	32.68%	28.21%	26.26%	54.43%	49.40%	48.24%	54.60%	49.47%	47.94%	47.47%	43.53%	42.37%	6.88%	-4.59%	-5.09%	6.04%	0.21%	0.00%	10.47%	7.60%	8.01%	16.01%	-23.69%	4.54%	15.14%	-21.26%	3.84%	12.91%	-19.36%	3.81%
tfidf + llm					0.0509	0.0636	0.0783	0.0349	0.0366	0.0376	0.0389	0.043	0.0467	0.0509	0.0636	0.0783	0.0102	0.0064	0.0039	0.0165	0.0182	0.021	0.0388	0.0477	0.0572	0.0908	0.1148	0.1428	0.0132	0.0137	0.0144	0.03	0.0329	0.0353	0.0689	0.0767	0.0837	0.0121	0.0123	0.0125	0.0271	0.0283	0.029	0.0617	0.0649	0.0668	0.0165	0.0182	0.021	0.0388	0.0477	0.0572	0.0908	0.1148	0.1428	0.2278	0.1797	0.5925	0.205	0.1793	0.6158	0.1858	0.1796	0.6346	10.17%	6.71%	8.00%	50.43%	45.82%	44.62%	34.14%	29.13%	27.60%	10.17%	6.71%	8.00%	10.87%	6.67%	8.33%	3.13%	-7.14%	-2.78%	6.59%	1.92%	3.06%	11.82%	9.02%	9.93%	33.33%	24.55%	24.14%	35.75%	29.02%	27.44%	34.05%	29.56%	27.79%	53.16%	48.19%	47.06%	55.75%	50.53%	49.48%	48.67%	44.87%	43.66%	3.13%	-7.14%	-2.78%	6.59%	1.92%	3.06%	11.82%	9.02%	9.93%	6.65%	-26.98%	9.74%	5.94%	-24.82%	8.49%	4.26%	-23.08%	7.91%
