seed 42																																																																																																																												
	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.0398	0.053	0.0678	0.0195	0.0213	0.0223	0.0246	0.0288	0.0326	0.0398	0.053	0.0678	0.008	0.0053	0.0034	0.0157	0.0184	0.02	0.0267	0.0343	0.042	0.0671	0.0907	0.1179	0.0094	0.0103	0.0107	0.0165	0.019	0.0209	0.0414	0.0491	0.0559	0.0073	0.0077	0.0078	0.0131	0.0142	0.0147	0.0329	0.0361	0.038	0.0157	0.0184	0.02	0.0267	0.0343	0.042	0.0671	0.0907	0.1179	0.1884	0.1939	0.6171	0.1665	0.1801	0.653	0.1478	0.1728	0.6791																																																												
tfidf					0.0432	0.0554	0.0697	0.0293	0.031	0.0319	0.0328	0.0367	0.0403	0.0432	0.0554	0.0697	0.0086	0.0055	0.0035	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.0112	0.0118	0.0121	0.0212	0.023	0.0244	0.0561	0.0635	0.0704	0.0102	0.0104	0.0105	0.0192	0.02	0.0204	0.05	0.0531	0.055	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.1744	0.1361	0.6895	0.1481	0.1363	0.7156	0.1263	0.1361	0.7377	8.54%	4.53%	2.80%	50.26%	45.54%	43.05%	33.33%	27.43%	23.62%	8.54%	4.53%	2.80%	7.50%	3.77%	2.94%	-8.92%	-13.04%	-13.50%	1.87%	-4.96%	-8.81%	11.03%	7.28%	5.68%	19.15%	14.56%	13.08%	28.48%	21.05%	16.75%	35.51%	29.33%	25.94%	39.73%	35.06%	34.62%	46.56%	40.85%	38.78%	51.98%	47.09%	44.74%	-8.92%	-13.04%	-13.50%	1.87%	-4.96%	-8.81%	11.03%	7.28%	5.68%	-7.43%	-29.81%	11.73%	-11.05%	-24.32%	9.59%	-14.55%	-21.24%	8.63%
tfidf + llm					0.0438	0.0563	0.0709	0.0298	0.0315	0.0325	0.0333	0.0373	0.041	0.0438	0.0563	0.0709	0.0088	0.0056	0.0035	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.0122	0.0126	0.0132	0.0218	0.0237	0.0254	0.0566	0.0641	0.0709	0.0112	0.0113	0.0115	0.02	0.0207	0.0212	0.0504	0.0535	0.0554	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.1896	0.1418	0.6686	0.1625	0.1425	0.695	0.1394	0.1436	0.717	10.05%	6.23%	4.57%	52.82%	47.89%	45.74%	35.37%	29.51%	25.77%	10.05%	6.23%	4.57%	10.00%	5.66%	2.94%	-3.18%	-10.33%	-6.00%	3.37%	-2.62%	-4.52%	12.07%	8.82%	6.70%	29.79%	22.33%	23.36%	32.12%	24.74%	21.53%	36.71%	30.55%	26.83%	53.42%	46.75%	47.44%	52.67%	45.77%	44.22%	53.19%	48.20%	45.79%	-3.18%	-10.33%	-6.00%	3.37%	-2.62%	-4.52%	12.07%	8.82%	6.70%	0.64%	-26.87%	8.35%	-2.40%	-20.88%	6.43%	-5.68%	-16.90%	5.58%
multi-view 7b					0.045	0.0581	0.0738	0.0303	0.0321	0.0331	0.034	0.0382	0.0421	0.045	0.0581	0.0738	0.009	0.0058	0.0037	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.0121	0.0126	0.0131	0.0231	0.0252	0.027	0.0575	0.0653	0.0727	0.011	0.0112	0.0113	0.0212	0.022	0.0225	0.051	0.0542	0.0562	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.1529	0.1537	0.6933	0.1351	0.154	0.711	0.1212	0.1552	0.7236	13.07%	9.62%	8.85%	55.38%	50.70%	48.43%	38.21%	32.64%	29.14%	13.07%	9.62%	8.85%	12.50%	9.43%	8.82%	-1.91%	-7.61%	-4.50%	8.24%	3.50%	1.43%	15.05%	11.58%	10.86%	28.72%	22.33%	22.43%	40.00%	32.63%	29.19%	38.89%	32.99%	30.05%	50.68%	45.45%	44.87%	61.83%	54.93%	53.06%	55.02%	50.14%	47.89%	-1.91%	-7.61%	-4.50%	8.24%	3.50%	1.43%	15.05%	11.58%	10.86%	-18.84%	-20.73%	12.35%	-18.86%	-14.49%	8.88%	-18.00%	-10.19%	6.55%
multi-view 14b					0.0447	0.0578	0.0739	0.0299	0.0317	0.0328	0.0336	0.0378	0.0419	0.0447	0.0578	0.0739	0.0089	0.0058	0.0037	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.0117	0.0124	0.013	0.0232	0.0254	0.0273	0.0568	0.0645	0.072	0.0105	0.0107	0.0109	0.0212	0.0221	0.0226	0.0503	0.0535	0.0556	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.1662	0.1566	0.6772	0.1469	0.1576	0.6955	0.1314	0.1601	0.7085	12.31%	9.06%	9.00%	53.33%	48.83%	47.09%	36.59%	31.25%	28.53%	12.31%	9.06%	9.00%	11.25%	9.43%	8.82%	-0.64%	-4.35%	0.50%	8.99%	5.83%	4.05%	13.71%	10.47%	10.35%	24.47%	20.39%	21.50%	40.61%	33.68%	30.62%	37.20%	31.36%	28.80%	43.84%	38.96%	39.74%	61.83%	55.63%	53.74%	52.89%	48.20%	46.32%	-0.64%	-4.35%	0.50%	8.99%	5.83%	4.05%	13.71%	10.47%	10.35%	-11.78%	-19.24%	9.74%	-11.77%	-12.49%	6.51%	-11.10%	-7.35%	4.33%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.0452	0.0589	0.072	0.0229	0.0247	0.0256	0.0285	0.0329	0.0362	0.0452	0.0589	0.072	0.009	0.0059	0.0036	0.0155	0.0189	0.0207	0.0354	0.0464	0.0556	0.0799	0.1042	0.129	0.0095	0.0106	0.0111	0.0217	0.0253	0.0276	0.0506	0.0585	0.0648	0.0075	0.008	0.0081	0.0172	0.0187	0.0193	0.0409	0.0442	0.0459	0.0155	0.0189	0.0207	0.0354	0.0464	0.0556	0.0799	0.1042	0.129	0.2092	0.2516	0.5387	0.1933	0.2412	0.5651	0.1802	0.236	0.5835																																																												
tfidf					0.0502	0.0628	0.0772	0.0347	0.0364	0.0374	0.0386	0.0426	0.0463	0.0502	0.0628	0.0772	0.01	0.0063	0.0039	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.013	0.0135	0.0139	0.0293	0.032	0.0343	0.0687	0.0764	0.0834	0.0119	0.0121	0.0122	0.0264	0.0276	0.0282	0.0617	0.0649	0.0668	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.2256	0.1804	0.594	0.202	0.1788	0.6191	0.1819	0.1785	0.6396	11.06%	6.62%	7.22%	51.53%	47.37%	46.09%	35.44%	29.48%	27.90%	11.06%	6.62%	7.22%	11.11%	6.78%	8.33%	5.81%	-4.76%	-4.83%	6.50%	-0.65%	-0.72%	12.39%	9.21%	9.77%	36.84%	27.36%	25.23%	35.02%	26.48%	24.28%	35.77%	30.60%	28.70%	58.67%	51.25%	50.62%	53.49%	47.59%	46.11%	50.86%	46.83%	45.53%	5.81%	-4.76%	-4.83%	6.50%	-0.65%	-0.72%	12.39%	9.21%	9.77%	7.84%	-28.30%	10.27%	4.50%	-25.87%	9.56%	0.94%	-24.36%	9.61%
tfidf + llm					0.0509	0.064	0.0782	0.0351	0.0368	0.0378	0.039	0.0433	0.0468	0.0509	0.064	0.0782	0.0102	0.0064	0.0039	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.0138	0.0143	0.0149	0.0298	0.0326	0.0351	0.0691	0.0773	0.0839	0.0126	0.0128	0.013	0.027	0.0281	0.0288	0.062	0.0654	0.0672	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.2614	0.1881	0.5505	0.2395	0.1886	0.5719	0.2218	0.1892	0.589	12.61%	8.66%	8.61%	53.28%	48.99%	47.66%	36.84%	31.61%	29.28%	12.61%	8.66%	8.61%	13.33%	8.47%	8.33%	11.61%	0.53%	3.86%	8.19%	1.08%	2.16%	13.52%	11.23%	10.39%	45.26%	34.91%	34.23%	37.33%	28.85%	27.17%	36.56%	32.14%	29.48%	68.00%	60.00%	60.49%	56.98%	50.27%	49.22%	51.59%	47.96%	46.41%	11.61%	0.53%	3.86%	8.19%	1.08%	2.16%	13.52%	11.23%	10.39%	24.95%	-25.24%	2.19%	23.90%	-21.81%	1.20%	23.09%	-19.83%	0.94%
