	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
																																																																																																																												
																																																																																																																												
																																																																																																																												
sasrec + tfidf + beauty + stratified	beauty			0.0442	0.0569	0.0721	0.0301	0.0318	0.0328	0.0336	0.0377	0.0415	0.0442	0.0569	0.0721	0.0088	0.0057	0.0036	0.0155	0.0168	0.0187	0.0273	0.0332	0.0395	0.0761	0.1	0.1286	0.0122	0.0127	0.0131	0.0217	0.0236	0.0252	0.0573	0.065	0.0722	0.0111	0.0113	0.0114	0.0199	0.0206	0.0211	0.0511	0.0542	0.0562	0.0155	0.0168	0.0187	0.0273	0.0332	0.0395	0.0761	0.1	0.1286	0.1996	0.1273	0.6731	0.1697	0.1271	0.7032	0.1454	0.1263	0.7284	27.75%	21.32%	20.97%	57.59%	53.62%	51.85%	46.09%	40.15%	37.87%	27.75%	21.32%	20.97%	27.54%	21.28%	20.00%	6.16%	-1.75%	-3.11%	5.81%	-0.30%	-0.75%	33.74%	27.23%	26.33%	31.18%	25.74%	22.43%	24.71%	19.19%	17.21%	51.99%	45.41%	42.97%	48.00%	43.04%	42.50%	36.30%	32.05%	31.06%	63.26%	58.48%	56.98%	6.16%	-1.75%	-3.11%	5.81%	-0.30%	-0.75%	33.74%	27.23%	26.33%	1.11%	-49.52%	22.36%	-4.93%	-47.95%	21.85%	-11.18%	-47.24%	22.07%	
GPU_ID=0 nohup bash two_phase_run_tfidf_llm_stratified.sh > tfidf_llm_beauty.log 2>&1 &	beauty	ubuntu		0.0447	0.0579	0.0738	0.0303	0.032	0.0331	0.0339	0.0381	0.0421	0.0447	0.0579	0.0738	0.0089	0.0058	0.0037	0.0146	0.0163	0.0186	0.0283	0.0339	0.0404	0.0771	0.1018	0.1318	0.0113	0.0119	0.0124	0.022	0.0239	0.0255	0.058	0.066	0.0736	0.0102	0.0104	0.0106	0.02	0.0207	0.0212	0.0517	0.055	0.0571	0.0146	0.0163	0.0186	0.0283	0.0339	0.0404	0.0771	0.1018	0.1318	0.1961	0.126	0.6779	0.1666	0.1261	0.7073	0.1411	0.1261	0.7328	29.19%	23.45%	23.83%	58.64%	54.59%	53.24%	47.39%	41.64%	39.87%	29.19%	23.45%	23.83%	28.99%	23.40%	23.33%	0.00%	-4.68%	-3.63%	9.69%	1.80%	1.51%	35.50%	29.52%	29.47%	21.51%	17.82%	15.89%	26.44%	20.71%	18.60%	53.85%	47.65%	45.74%	36.00%	31.65%	32.50%	36.99%	32.69%	31.68%	65.18%	60.82%	59.50%	0.00%	-4.68%	-3.63%	9.69%	1.80%	1.51%	35.50%	29.52%	29.47%	-0.66%	-50.04%	23.23%	-6.67%	-48.36%	22.56%	-13.81%	-47.33%	22.81%	
GPU_ID=1 nohup bash two_phase_run_multiview_v2_stratified.sh > mv_7b_beauty.log 2>&1 &	beauty	ubuntu		0.0454	0.0597	0.0773	0.0301	0.032	0.0332	0.0339	0.0385	0.0429	0.0454	0.0597	0.0773	0.0091	0.006	0.0039	0.0149	0.0167	0.0187	0.0266	0.0329	0.0406	0.0791	0.106	0.1391	0.0118	0.0124	0.0129	0.0207	0.0227	0.0247	0.0585	0.0671	0.0754	0.0108	0.011	0.0111	0.0187	0.0196	0.0201	0.0517	0.0552	0.0575	0.0149	0.0167	0.0187	0.0266	0.0329	0.0406	0.0791	0.106	0.1391	0.1394	0.1158	0.7448	0.121	0.1153	0.7638	0.1077	0.1169	0.7754																																																													
GPU_ID=2 nohup bash two_phase_run_multiview_v2_stratified_14b.sh > mv_14b_beauty.log 2>&1 &	beauty	ubuntu		0.0455	0.059	0.0752	0.0304	0.0322	0.0333	0.0342	0.0385	0.0426	0.0455	0.059	0.0752	0.0091	0.0059	0.0038	0.0151	0.0167	0.0188	0.0288	0.0352	0.0428	0.0783	0.1034	0.1335	0.0113	0.0118	0.0124	0.0227	0.0248	0.0267	0.0583	0.0664	0.074	0.01	0.0102	0.0104	0.0207	0.0216	0.0221	0.0517	0.055	0.0571	0.0151	0.0167	0.0188	0.0288	0.0352	0.0428	0.0783	0.1034	0.1335	0.1883	0.1444	0.6674	0.1629	0.1445	0.6927	0.1417	0.1454	0.7129																																																													
GPU_ID=3 nohup bash two_phase_run_multiview_v2_stratified_32b.sh > mv_32b_beauty.log 2>&1 &	beauty	ubuntu		0.0442	0.0573	0.0735	0.0297	0.0314	0.0325	0.0333	0.0375	0.0416	0.0442	0.0573	0.0735	0.0088	0.0057	0.0037	0.0146	0.0166	0.0187	0.0281	0.0344	0.0414	0.0761	0.1002	0.1307	0.0114	0.012	0.0125	0.0219	0.0239	0.0257	0.0568	0.0646	0.0723	0.0103	0.0105	0.0107	0.0198	0.0207	0.0212	0.0505	0.0537	0.0558	0.0146	0.0166	0.0187	0.0281	0.0344	0.0414	0.0761	0.1002	0.1307	0.1886	0.1489	0.6626	0.1671	0.1491	0.6837	0.1479	0.1502	0.7019																																																													
																																																																																																																												
																																																																																																																												
